Name,Games Played,Minutes Per Game,FGs per game,Three point attempts,Threes per game,Free Throws per game,Rebounds per game,Assists per game,Steals per game,Blocks per game,Turnovers per game,Points per game
Andrew Goudelock,140,32.8,.457,6.8,.413,.838,3.3,3.0,0.9,0.3,2.2,18.4
Travis Leslie,90,26.1,.482,0.6,.333,.743,6.1,2.1,1.1,0.7,2.0,12.2
Keith Benson,135,26.8,.558,0.2,.379,.679,8.2,0.7,0.5,2.7,1.4,14.1
Josh Selby,26,20.4,.373,3.6,.362,.757,2.2,2.2,0.8,0.0,2.0,7.9
Lavoy Allen,135,32.2,.534,0.5,.288,.671,8.5,2.1,0.5,1.6,1.4,10.5
Jon Diebler,144,32.6,.427,6.3,.416,.821,2.8,1.9,1.0,0.2,1.2,10.7
Vernon Macklin,71,24.8,.599,0.0,.000,.511,5.5,0.8,0.5,0.8,1.5,11.1
DeAndre Liggins,100,21.9,.407,1.9,.332,.643,3.0,2.1,0.9,0.5,1.5,5.8
Ater Majok,26,14.7,.424,0.0,nan,.409,3.0,0.2,0.2,1.6,0.8,2.3
Isaiah Thomas,105,30.4,.426,4.8,.325,.713,3.5,4.0,1.2,0.1,2.7,16.4
John Wall,37,34.8,.461,3.1,.325,.754,4.3,6.5,1.8,0.5,4.0,16.6
Evan Turner,101,32.8,.502,1.5,.362,.758,6.8,4.1,1.6,0.7,3.5,15.0
Derrick Favors,36,27.5,.611,0.0,.000,.629,8.4,1.0,0.9,2.1,2.5,12.4
Wesley Johnson,52,8.8,.529,0.0,nan,.508,1.5,0.1,0.2,0.3,0.3,1.6
DeMarcus Cousins,38,23.5,.558,0.2,.167,.604,9.8,1.0,1.0,1.8,2.1,15.1
Ekpe Udoh,36,35.1,.490,0.7,.269,.685,9.8,2.7,0.8,3.7,2.4,13.9
Greg Monroe,65,32.6,.543,0.5,.273,.677,8.2,3.2,1.5,1.5,2.9,14.5
Al-Farouq Aminu,62,30.1,.476,1.7,.238,.687,9.4,1.4,1.2,1.3,2.9,14.4
Gordon Hayward,69,33.1,.470,4.6,.369,.824,7.4,1.8,1.3,0.9,2.0,14.4
Paul George,63,33.9,.447,4.9,.396,.803,6.7,2.4,2.0,0.9,2.7,15.5
Cole Aldrich,111,21.0,.574,0.0,nan,.729,7.7,0.6,0.5,2.3,1.2,9.4
Xavier Henry,36,27.5,.458,4.6,.418,.783,4.4,1.5,1.5,0.5,1.9,13.4
Ed Davis,61,22.2,.548,0.0,nan,.623,7.7,0.7,0.4,2.1,1.4,9.2
Patrick Patterson,97,34.0,.585,0.8,.329,.734,8.2,1.5,0.7,1.6,1.6,16.1
Larry Sanders,101,23.5,.520,0.2,.250,.577,7.7,0.5,0.6,2.7,1.5,10.3
Luke Babbitt,68,34.9,.480,2.6,.421,.893,8.1,1.8,0.9,0.8,2.1,19.4
Eric Bledsoe,37,30.3,.462,3.5,.383,.667,3.1,2.9,1.4,0.3,3.0,11.3
Avery Bradley,34,29.5,.432,3.3,.375,.545,2.9,2.1,1.3,0.5,1.5,11.6
James Anderson,87,6.3,.463,0.0,nan,.390,1.3,0.2,0.1,0.4,0.2,1.6
Craig Brackins,96,31.8,.445,2.5,.292,.726,7.7,1.6,0.5,1.0,2.0,16.0
Elliot Williams,34,33.3,.459,4.8,.366,.758,4.0,3.8,1.3,0.1,2.9,17.9
Trevor Booker,134,28.4,.559,0.5,.324,.624,7.9,1.7,1.1,1.9,1.9,12.9
Damion James,142,29.3,.479,2.0,.364,.640,9.3,1.1,1.0,1.1,1.8,13.5
Dominique Jones,95,36.5,.442,5.2,.323,.737,5.4,3.5,1.5,0.4,2.6,18.9
Quincy Pondexter,136,27.3,.503,1.2,.327,.768,5.6,1.7,0.8,0.3,1.9,13.1
Jordan Crawford,35,32.8,.462,5.8,.391,.773,4.7,2.9,1.3,0.2,2.4,20.5
Daniel Orton,38,13.2,.527,0.1,.000,.524,3.3,0.4,0.6,1.4,1.0,3.4
